Comparison,Significance,LatentDim,Dataset,TargetModel,TStatistic,PValue,Value
VAE_vs_CVAE,1,6,breastcancer,NN,6898.5,3.56399688726142e-07,mse
LIME_vs_CVAE,1,6,breastcancer,NN,9438.0,7.836979472164366e-29,mse
VAE_vs_CVAE,1,6,breastcancer,RF,6243.5,0.0014078229700489034,mse
LIME_vs_CVAE,1,6,breastcancer,RF,7034.0,4.0183656161387365e-07,mse
VAE_vs_CVAE,1,6,breastcancer,SVM,6717.5,3.489912396277507e-06,mse
LIME_vs_CVAE,1,6,breastcancer,SVM,8572.0,1.3114597166633818e-19,mse
VAE_vs_CVAE,0,6,liver,NN,5137.5,0.7361383576222211,mse
LIME_vs_CVAE,0,6,liver,NN,4687.0,0.4417837921207729,mse
VAE_vs_CVAE,0,6,liver,RF,5560.5,0.1705505702323985,mse
LIME_vs_CVAE,1,6,liver,RF,3499.0,0.00022795146536708463,mse
VAE_vs_CVAE,0,6,liver,SVM,4715.5,0.3854089096717056,mse
LIME_vs_CVAE,0,6,liver,SVM,4474.0,0.09957882394255445,mse
VAE_vs_CVAE,0,6,wine,NN,4887.0,0.7826049473437076,mse
LIME_vs_CVAE,1,6,wine,NN,4118.5,0.030454424908552616,mse
VAE_vs_CVAE,0,6,wine,RF,4787.0,0.6033646718900456,mse
LIME_vs_CVAE,0,6,wine,RF,4585.5,0.3114454566320366,mse
VAE_vs_CVAE,0,6,wine,SVM,5277.5,0.49651539822578217,mse
LIME_vs_CVAE,0,6,wine,SVM,4323.0,0.09634847758284419,mse
VAE_vs_CVAE,1,6,credit_one_hot,NN,7627.5,6.778503921804719e-11,mse
LIME_vs_CVAE,1,6,credit_one_hot,NN,7252.0,2.5929393368980886e-08,mse
VAE_vs_CVAE,1,6,credit_one_hot,RF,7608.0,1.7230896436122444e-10,mse
LIME_vs_CVAE,0,6,credit_one_hot,RF,4617.0,0.34671992107915706,mse
VAE_vs_CVAE,1,6,credit_one_hot,SVM,7325.0,7.622440410256358e-09,mse
LIME_vs_CVAE,1,6,credit_one_hot,SVM,6566.5,0.00010733754046568576,mse
VAE_vs_CVAE,0,6,adult_one_hot,NN,5718.5,0.07557438562983552,mse
LIME_vs_CVAE,0,6,adult_one_hot,NN,5446.5,0.2712336954150929,mse
VAE_vs_CVAE,0,6,adult_one_hot,RF,5666.0,0.10222121346364031,mse
LIME_vs_CVAE,0,6,adult_one_hot,RF,4661.5,0.40715061143572917,mse
VAE_vs_CVAE,1,6,adult_one_hot,SVM,6274.0,0.001721573155440912,mse
LIME_vs_CVAE,0,6,adult_one_hot,SVM,5323.5,0.42522485934134735,mse
VAE_vs_CVAE,1,6,breastcancer,NN,6061.0,0.0008032153757018789,Active_latent_dim
LIME_vs_CVAE,0,6,breastcancer,NN,,,Active_latent_dim
VAE_vs_CVAE,1,6,breastcancer,RF,6061.0,0.0008032153757018789,Active_latent_dim
LIME_vs_CVAE,0,6,breastcancer,RF,,,Active_latent_dim
VAE_vs_CVAE,1,6,breastcancer,SVM,6061.0,0.0008032153757018789,Active_latent_dim
LIME_vs_CVAE,0,6,breastcancer,SVM,,,Active_latent_dim
VAE_vs_CVAE,0,6,liver,NN,4261.0,0.05153960875484493,Active_latent_dim
LIME_vs_CVAE,0,6,liver,NN,,,Active_latent_dim
VAE_vs_CVAE,1,6,liver,RF,4227.0,0.03973007828549409,Active_latent_dim
LIME_vs_CVAE,0,6,liver,RF,,,Active_latent_dim
VAE_vs_CVAE,1,6,liver,SVM,3944.5,0.005426852673420812,Active_latent_dim
LIME_vs_CVAE,0,6,liver,SVM,,,Active_latent_dim
VAE_vs_CVAE,1,6,wine,NN,6619.0,1.1286969829555275e-05,Active_latent_dim
LIME_vs_CVAE,0,6,wine,NN,,,Active_latent_dim
VAE_vs_CVAE,1,6,wine,RF,6285.0,0.000504473793197935,Active_latent_dim
LIME_vs_CVAE,0,6,wine,RF,,,Active_latent_dim
VAE_vs_CVAE,1,6,wine,SVM,6630.0,1.025072558300373e-05,Active_latent_dim
LIME_vs_CVAE,0,6,wine,SVM,,,Active_latent_dim
VAE_vs_CVAE,1,6,credit_one_hot,NN,6340.5,0.0004914725254409749,Active_latent_dim
LIME_vs_CVAE,0,6,credit_one_hot,NN,,,Active_latent_dim
VAE_vs_CVAE,1,6,credit_one_hot,RF,6206.5,0.001624430868397687,Active_latent_dim
LIME_vs_CVAE,0,6,credit_one_hot,RF,,,Active_latent_dim
VAE_vs_CVAE,1,6,credit_one_hot,SVM,6161.0,0.002443672387117698,Active_latent_dim
LIME_vs_CVAE,0,6,credit_one_hot,SVM,,,Active_latent_dim
VAE_vs_CVAE,0,6,adult_one_hot,NN,5595.0,0.06942591340887656,Active_latent_dim
LIME_vs_CVAE,0,6,adult_one_hot,NN,,,Active_latent_dim
VAE_vs_CVAE,1,6,adult_one_hot,RF,5918.0,0.007229095526953514,Active_latent_dim
LIME_vs_CVAE,0,6,adult_one_hot,RF,,,Active_latent_dim
VAE_vs_CVAE,1,6,adult_one_hot,SVM,5790.0,0.0193144307935921,Active_latent_dim
LIME_vs_CVAE,0,6,adult_one_hot,SVM,,,Active_latent_dim
VAE_vs_CVAE,1,6,breastcancer,NN,7978.0,3.4593216070575393e-13,L1
LIME_vs_CVAE,0,6,breastcancer,NN,4675.0,0.4278479191788158,L1
VAE_vs_CVAE,1,6,breastcancer,RF,6560.0,0.00013870566655378703,L1
LIME_vs_CVAE,1,6,breastcancer,RF,1069.0,7.709504534411055e-22,L1
VAE_vs_CVAE,1,6,breastcancer,SVM,8444.0,3.9690467414016417e-17,L1
LIME_vs_CVAE,0,6,breastcancer,SVM,4871.0,0.753539667960736,L1
VAE_vs_CVAE,0,6,liver,NN,5090.0,0.8268967545989556,L1
LIME_vs_CVAE,1,6,liver,NN,1054.0,5.398204098144477e-22,L1
VAE_vs_CVAE,0,6,liver,RF,5678.0,0.0978442027337184,L1
LIME_vs_CVAE,1,6,liver,RF,13.0,3.7845631983265776e-34,L1
VAE_vs_CVAE,1,6,liver,SVM,3553.0,0.0004087607853946891,L1
LIME_vs_CVAE,1,6,liver,SVM,434.0,6.747097135299329e-29,L1
VAE_vs_CVAE,1,6,wine,NN,7915.0,1.0694722670345005e-12,L1
LIME_vs_CVAE,1,6,wine,NN,938.0,3.2794575080386335e-23,L1
VAE_vs_CVAE,0,6,wine,RF,5001.0,0.9990252291079427,L1
LIME_vs_CVAE,1,6,wine,RF,136.0,1.4433541583120448e-32,L1
VAE_vs_CVAE,1,6,wine,SVM,6471.0,0.00032688837304198435,L1
LIME_vs_CVAE,1,6,wine,SVM,245.0,3.3742500380095893e-31,L1
VAE_vs_CVAE,1,6,credit_one_hot,NN,9923.0,2.5450625479006455e-33,L1
LIME_vs_CVAE,1,6,credit_one_hot,NN,7782.0,1.0735042775933275e-11,L1
VAE_vs_CVAE,1,6,credit_one_hot,RF,9859.0,1.6704426697515137e-32,L1
LIME_vs_CVAE,1,6,credit_one_hot,RF,644.0,1.8963904115352938e-26,L1
VAE_vs_CVAE,1,6,credit_one_hot,SVM,9946.0,1.2866619826841274e-33,L1
LIME_vs_CVAE,0,6,credit_one_hot,SVM,4791.0,0.6104392314803633,L1
VAE_vs_CVAE,1,6,adult_one_hot,NN,9082.0,2.0071406631722035e-23,L1
LIME_vs_CVAE,1,6,adult_one_hot,NN,9517.0,2.5742578944380484e-28,L1
VAE_vs_CVAE,1,6,adult_one_hot,RF,7466.0,1.6997406258216198e-09,L1
LIME_vs_CVAE,1,6,adult_one_hot,RF,600.0,5.946150073619718e-27,L1
VAE_vs_CVAE,1,6,adult_one_hot,SVM,9451.0,1.5282056007383042e-27,L1
LIME_vs_CVAE,0,6,adult_one_hot,SVM,5273.0,0.5055239403459502,L1
VAE_vs_CVAE,1,6,breastcancer,NN,9523.0,2.186631231720176e-28,WRSR
LIME_vs_CVAE,1,6,breastcancer,NN,10000.0,2.562143669163401e-34,WRSR
VAE_vs_CVAE,1,6,breastcancer,RF,9258.0,2.4093442967651247e-25,WRSR
