Comparison,Significance,LatentDim,Dataset,TargetModel,TStatistic,PValue,Value
VAE_vs_CVAE,1,6,breastcancer,NN,4.624880906783168,1.1198564234617475e-05,mse
LIME_vs_CVAE,1,6,breastcancer,NN,9438.0,7.836979472164366e-29,mse
VAE_vs_CVAE,1,6,breastcancer,RF,3.9172595727512065,0.00016183824915574443,mse
LIME_vs_CVAE,1,6,breastcancer,RF,7034.0,4.0183656161387365e-07,mse
VAE_vs_CVAE,1,6,breastcancer,SVM,4.6765603564020575,8.42702928807889e-06,mse
LIME_vs_CVAE,1,6,breastcancer,SVM,8572.0,1.3114597166633818e-19,mse
VAE_vs_CVAE,0,6,liver,NN,-0.14690721049095923,0.883358745869723,mse
LIME_vs_CVAE,0,6,liver,NN,4687.0,0.4417837921207729,mse
VAE_vs_CVAE,0,6,liver,RF,0.947459453893119,0.3448430481284672,mse
LIME_vs_CVAE,1,6,liver,RF,3499.0,0.00022795146536708463,mse
VAE_vs_CVAE,0,6,liver,SVM,-0.5801343181089185,0.562496957654398,mse
LIME_vs_CVAE,0,6,liver,SVM,4474.0,0.09957882394255445,mse
VAE_vs_CVAE,0,6,wine,NN,-0.14947180305967278,0.8813339743113021,mse
LIME_vs_CVAE,1,6,wine,NN,4118.5,0.030454424908552616,mse
VAE_vs_CVAE,0,6,wine,RF,-0.6937978452881218,0.48862718419089035,mse
LIME_vs_CVAE,0,6,wine,RF,4585.5,0.3114454566320366,mse
VAE_vs_CVAE,0,6,wine,SVM,-0.8029021460484587,0.4231436567435478,mse
LIME_vs_CVAE,0,6,wine,SVM,4323.0,0.09634847758284419,mse
VAE_vs_CVAE,1,6,credit_one_hot,NN,6.085505895078896,1.9910277085967557e-08,mse
LIME_vs_CVAE,1,6,credit_one_hot,NN,7252.0,2.5929393368980886e-08,mse
VAE_vs_CVAE,1,6,credit_one_hot,RF,6.434209913059263,3.728005505278571e-09,mse
LIME_vs_CVAE,0,6,credit_one_hot,RF,4617.0,0.34671992107915706,mse
VAE_vs_CVAE,1,6,credit_one_hot,SVM,6.062875627517614,2.1909112315776937e-08,mse
LIME_vs_CVAE,1,6,credit_one_hot,SVM,6566.5,0.00010733754046568576,mse
VAE_vs_CVAE,0,6,adult_one_hot,NN,1.5010176303436098,0.13508198239694588,mse
LIME_vs_CVAE,0,6,adult_one_hot,NN,5446.5,0.2712336954150929,mse
