Comparison,Significance,LatentDim,Dataset,TargetModel,TStatistic,PValue,Value
VAE_vs_CVAE,1,6,breastcancer,NN,4.880550838356487,3.9149857160481446e-06,mse
LIME_vs_CVAE,1,6,breastcancer,NN,9199.5,4.8391076834820884e-26,mse
VAE_vs_CVAE,1,6,breastcancer,RF,3.548347821474831,0.0005236099561765528,mse
LIME_vs_CVAE,1,6,breastcancer,RF,6907.0,1.7323946526300187e-06,mse
VAE_vs_CVAE,1,6,breastcancer,SVM,3.0376849359816336,0.002889506813832333,mse
LIME_vs_CVAE,1,6,breastcancer,SVM,8863.0,3.3157429973434345e-22,mse
VAE_vs_CVAE,0,6,liver,NN,0.9598589983436046,0.33845926417406014,mse
LIME_vs_CVAE,1,6,liver,NN,4171.5,0.04162663454287612,mse
VAE_vs_CVAE,0,6,liver,RF,-1.2082970872180572,0.22842878115156187,mse
LIME_vs_CVAE,1,6,liver,RF,3199.0,9.782152655209417e-06,mse
VAE_vs_CVAE,0,6,liver,SVM,-0.24394614374525903,0.8075661119452955,mse
LIME_vs_CVAE,0,6,liver,SVM,4619.5,0.2108664973308123,mse
VAE_vs_CVAE,0,6,wine,NN,1.0904228519551336,0.2769004411312992,mse
LIME_vs_CVAE,1,6,wine,NN,4095.0,0.026423817252642055,mse
VAE_vs_CVAE,0,6,wine,RF,0.368779884631353,0.7126904804677768,mse
LIME_vs_CVAE,0,6,wine,RF,5146.5,0.7210664412980019,mse
VAE_vs_CVAE,0,6,wine,SVM,-1.24654955221067,0.21433926811469659,mse
LIME_vs_CVAE,0,6,wine,SVM,4254.0,0.0674049795434105,mse
VAE_vs_CVAE,1,6,credit_one_hot,NN,4.667975557675436,9.145530474610917e-06,mse
LIME_vs_CVAE,1,6,credit_one_hot,NN,7012.5,6.853967194853532e-07,mse
VAE_vs_CVAE,1,6,credit_one_hot,RF,5.600636577944237,1.7388231143068426e-07,mse
LIME_vs_CVAE,0,6,credit_one_hot,RF,4728.0,0.5040183599884266,mse
VAE_vs_CVAE,1,6,credit_one_hot,SVM,6.3455558649249095,6.371352412861535e-09,mse
LIME_vs_CVAE,1,6,credit_one_hot,SVM,6359.5,0.0007920464206974371,mse
VAE_vs_CVAE,1,6,adult_one_hot,NN,2.5233496337291497,0.01266347556376315,mse
LIME_vs_CVAE,0,6,adult_one_hot,NN,5263.5,0.5164770592401475,mse
VAE_vs_CVAE,1,6,adult_one_hot,RF,3.4612858827885034,0.0007103550120784728,mse
LIME_vs_CVAE,0,6,adult_one_hot,RF,5012.5,0.976519962436022,mse
VAE_vs_CVAE,1,6,adult_one_hot,SVM,3.299262964782486,0.001232405093905312,mse
LIME_vs_CVAE,0,6,adult_one_hot,SVM,4987.0,0.9754200290811903,mse
VAE_vs_CVAE,1,6,breastcancer,NN,3.543776507950129,0.0005090156056772432,Active_latent_dim
LIME_vs_CVAE,0,6,breastcancer,NN,,,Active_latent_dim
VAE_vs_CVAE,1,6,breastcancer,RF,3.543776507950129,0.0005090156056772432,Active_latent_dim
LIME_vs_CVAE,0,6,breastcancer,RF,,,Active_latent_dim
VAE_vs_CVAE,1,6,breastcancer,SVM,3.543776507950129,0.0005090156056772432,Active_latent_dim
LIME_vs_CVAE,0,6,breastcancer,SVM,,,Active_latent_dim
VAE_vs_CVAE,1,6,liver,NN,-2.261210118686488,0.02490140414139016,Active_latent_dim
LIME_vs_CVAE,0,6,liver,NN,,,Active_latent_dim
VAE_vs_CVAE,1,6,liver,RF,-2.328149024888199,0.020956213229338428,Active_latent_dim
LIME_vs_CVAE,0,6,liver,RF,,,Active_latent_dim
VAE_vs_CVAE,1,6,liver,SVM,-3.0458534809363207,0.0026539450783767266,Active_latent_dim
LIME_vs_CVAE,0,6,liver,SVM,,,Active_latent_dim
VAE_vs_CVAE,1,6,wine,NN,4.515678146703309,1.0847567375169313e-05,Active_latent_dim
LIME_vs_CVAE,0,6,wine,NN,,,Active_latent_dim
VAE_vs_CVAE,1,6,wine,RF,3.482286000528059,0.0006117502720720844,Active_latent_dim
LIME_vs_CVAE,0,6,wine,RF,,,Active_latent_dim
VAE_vs_CVAE,1,6,wine,SVM,4.458645318063457,1.3810286561750183e-05,Active_latent_dim
LIME_vs_CVAE,0,6,wine,SVM,,,Active_latent_dim
VAE_vs_CVAE,1,6,credit_one_hot,NN,4.052524403721998,7.533233373672503e-05,Active_latent_dim
LIME_vs_CVAE,0,6,credit_one_hot,NN,,,Active_latent_dim
VAE_vs_CVAE,1,6,credit_one_hot,RF,3.747979957316431,0.00023930444350602325,Active_latent_dim
LIME_vs_CVAE,0,6,credit_one_hot,RF,,,Active_latent_dim
