,dataset,weighting_fn,epoch_num,latent_size,num_samples,select_percent,instance_no,predict_label,label,r2,mse,element1,element3,process_time,target_model,local_output,Active_latent_dim,L1,L2,RSS,TSS,WRSR,auto_encoder_latent_dim
0,adult_one_hot,CVAE,1000,2,5000,100,0,[0],1,0.938,0,1,0,45.5,NN,0.25276,2,7.717436433,1.968203062,7.714234143,124.6224561,0.837835156,2
0,adult_one_hot,CVAE,1000,2,5000,100,1,[0],0,0.855,0.032,1,0,55.7,NN,0.302177429,2,3.866333896,0.954532374,5.167808558,35.61816303,0.78932149,2
0,adult_one_hot,CVAE,1000,2,5000,100,2,[0],1,0.835,0.029,1,0,66.9,NN,0.233270809,1,2.714414246,0.546490758,3.063702555,18.55455064,0.746517762,2
0,adult_one_hot,CVAE,1000,2,5000,100,3,[0],0,0.851,0.002,1,0,77,NN,0.164346844,2,4.025331701,0.922324528,4.214988508,28.30898826,0.756515976,2
0,adult_one_hot,CVAE,1000,2,5000,100,4,[0],0,0.944,0.001,1,0,58.7,NN,0.036694452,2,7.996098587,1.958437896,7.8632412,141.0849409,0.832541303,2
0,adult_one_hot,CVAE,1000,2,5000,100,5,[0],1,0.876,0,1,0,76.3,NN,0.115328602,2,4.744988115,1.238766953,6.198352656,50.02303583,0.803170972,2
0,adult_one_hot,CVAE,1000,2,5000,100,6,[0],0,0.878,0.004,1,0,102.1,NN,0.011889976,2,5.0426973,1.262993931,5.561144501,45.55972807,0.797692789,2
0,adult_one_hot,CVAE,1000,2,5000,100,7,[0],0,0.868,0,1,0,89,NN,0.057415873,2,4.632489017,1.174405552,8.67182382,65.9415117,0.822463829,2
0,adult_one_hot,CVAE,1000,2,5000,100,8,[0],0,0.831,0,1,0,352.6,NN,0.037716728,2,2.056300896,0.378843156,2.058716163,12.2012213,0.71476221,2
0,adult_one_hot,CVAE,1000,2,5000,100,9,[0],0,0.9,0.017,1,0,106.4,NN,0.156233177,2,5.800258248,1.593528233,7.266055025,72.58528319,0.818137402,2
0,adult_one_hot,CVAE,1000,2,5000,100,10,[0],0,0.83,0,1,0,83.6,NN,0.000705712,2,4.095162606,0.872143931,2.41224372,14.18800278,0.723677895,2
0,adult_one_hot,CVAE,1000,2,5000,100,11,[0],1,0.895,0.008,1,0,111.9,NN,0.103567161,2,5.532259199,1.565824787,8.873389276,84.647666,0.82727396,2
0,adult_one_hot,CVAE,1000,2,5000,100,12,[0],0,0.855,0.004,1,0,117.1,NN,3.32233E-05,2,2.968192746,0.542941096,5.260662065,36.32291874,0.78217767,2
0,adult_one_hot,CVAE,1000,2,5000,100,13,[0],0,0.73,0,1,0,136.1,NN,0.000445553,2,1.183196323,0.220465804,0.296874737,1.098478602,0.642810158,2
0,adult_one_hot,CVAE,1000,2,5000,100,14,[0],0,0.865,0.001,1,0,101.1,NN,0.018539868,2,4.694820963,1.063038697,3.778638308,27.95616515,0.752346973,2
0,adult_one_hot,CVAE,1000,2,5000,100,15,[0],0,0.943,0.025,1,0,90,NN,0.049915954,2,8.093998212,1.991657402,7.656296836,133.7958831,0.83885721,2
0,adult_one_hot,CVAE,1000,2,5000,100,16,[0],0,0.897,0.087,1,0,80.8,NN,0.485341072,2,5.456068178,1.560291875,7.917322103,77.19113385,0.834918872,2
0,adult_one_hot,CVAE,1000,2,5000,100,17,[0],0,0.856,0.01,1,0,73.6,NN,0.008687083,2,3.988728763,0.960639602,7.317934312,50.93958089,0.809047082,2
0,adult_one_hot,CVAE,1000,2,5000,100,18,[0],0,0.937,0.005,1,0,87.9,NN,0.050084002,2,7.61484544,1.90640855,7.073539149,112.7755464,0.830655069,2
0,adult_one_hot,CVAE,1000,2,5000,100,19,[0],0,0.722,0,1,0,164.9,NN,6.09841E-06,2,2.282392193,0.472129601,1.257415552,4.524582303,0.590434381,2
0,adult_one_hot,CVAE,1000,2,5000,100,20,[0],1,0.875,0.011,1,0,102.1,NN,0.199093312,2,4.615404352,1.167510044,8.654847908,69.42561794,0.822399662,2
0,adult_one_hot,CVAE,1000,2,5000,100,21,[1],1,0.923,0.067,1,0,114.4,NN,0.274322808,2,6.030196869,1.007015583,13.83774392,180.2529348,0.833308992,2
0,adult_one_hot,CVAE,1000,2,5000,100,22,[1],1,0.925,0.001,1,0,180.2,NN,0.176190376,1,5.040207139,0.965612844,17.37417463,231.544168,0.864429846,2
0,adult_one_hot,CVAE,1000,2,5000,100,23,[0],1,0.935,0.002,1,0,122.8,NN,0.191914558,2,7.607416742,1.938613768,8.31359034,127.0104718,0.841535783,2
0,adult_one_hot,CVAE,1000,2,5000,100,24,[0],1,0.96,0.103,1,0,89.9,NN,0.396759242,2,8.868707636,1.882669633,6.845926633,172.050179,0.813316476,2
