,dataset,weighting_fn,epoch_num,latent_size,num_samples,select_percent,instance_no,predict_label,label,r2,mse,element1,element3,process_time,target_model,local_output,Active_latent_dim,L1,L2,RSS,TSS,WRSR,WRSR2,auto_encoder_latent_dim
0,adult_one_hot,CVAE,1000,6,5000,100,0,[0],1,0.918,0.002,1,0,28.1,NN,0.25276,2,5.64296701,1.092806668,6.16447264,75.45930349,0.60216176,0.88527378,6
0,adult_one_hot,CVAE,1000,6,5000,100,1,[0],0,0.809,0.035,1,0,15.4,NN,0.302177429,2,3.663617139,0.621919456,3.988826802,20.83876593,0.586613057,0.862309083,6
0,adult_one_hot,CVAE,1000,6,5000,100,2,[0],1,0.776,0.001,1,0,24.3,NN,0.233270809,2,3.601231451,0.690659607,5.685339517,25.42734569,0.596198157,0.877393012,6
0,adult_one_hot,CVAE,1000,6,5000,100,3,[0],0,0.801,0.005,1,0,34.7,NN,0.164346844,2,3.588622959,0.632457885,3.710133594,18.67628234,0.58443983,0.854056864,6
0,adult_one_hot,CVAE,1000,6,5000,100,4,[0],0,0.892,0.008,1,0,35.1,NN,0.036694452,2,5.126729039,0.950320861,6.503177631,60.14994215,0.618125682,0.903524041,6
0,adult_one_hot,CVAE,1000,6,5000,100,5,[0],1,0.814,0.01,1,0,33,NN,0.115328602,2,3.601845854,0.624472252,3.381626441,18.20322336,0.579642982,0.845083528,6
0,adult_one_hot,CVAE,1000,6,5000,100,6,[0],0,0.812,0.001,1,0,41.8,NN,0.011889976,2,3.435936056,0.606731935,3.094429881,16.45801638,0.585097628,0.858594603,6
0,adult_one_hot,CVAE,1000,6,5000,100,7,[0],0,0.839,0,1,0,53.9,NN,0.057415873,2,4.389442238,0.848046854,5.691129216,35.27290142,0.597744429,0.875518798,6
0,adult_one_hot,CVAE,1000,6,5000,100,8,[0],0,0.754,0.002,1,0,45.8,NN,0.037716728,2,2.646792746,0.50627503,2.819169165,11.47817183,0.567435284,0.835922933,6
0,adult_one_hot,CVAE,1000,6,5000,100,9,[0],0,0.863,0.022,1,0,37.6,NN,0.156233177,2,5.136957953,0.911483339,5.402706146,39.53881407,0.599756991,0.880488712,6
0,adult_one_hot,CVAE,1000,6,5000,100,10,[0],0,0.777,0,1,0,51.2,NN,0.000705712,2,3.052568141,0.596516251,2.030744415,9.118524504,0.561261444,0.820899319,6
0,adult_one_hot,CVAE,1000,6,5000,100,11,[0],1,0.854,0,1,0,35.9,NN,0.103567161,2,4.698872796,0.789621913,4.992780958,34.23832277,0.595249687,0.870391411,6
0,adult_one_hot,CVAE,1000,6,5000,100,12,[0],0,0.744,0,1,0,34,NN,3.32233E-05,1,1.724491677,0.32773013,0.920414138,3.594003455,0.492465822,0.724951382,6
0,adult_one_hot,CVAE,1000,6,5000,100,13,[0],0,0.714,0.002,1,0,43.7,NN,0.000445553,3,2.23116627,0.473079712,1.709052985,5.983389884,0.521462187,0.766517723,6
0,adult_one_hot,CVAE,1000,6,5000,100,14,[0],0,0.801,0,1,0,35.1,NN,0.018539868,2,3.302029699,0.601659664,2.700620119,13.53882318,0.584893558,0.851518188,6
0,adult_one_hot,CVAE,1000,6,5000,100,15,[0],0,0.864,0.02,1,0,31.9,NN,0.049915954,2,5.148338376,0.999797419,6.348464976,46.60167515,0.618410647,0.905759382,6
0,adult_one_hot,CVAE,1000,6,5000,100,16,[0],0,0.876,0.096,1,0,38.4,NN,0.485341072,2,5.353425814,0.971779833,6.740172187,54.24179778,0.601900475,0.884040057,6
0,adult_one_hot,CVAE,1000,6,5000,100,17,[0],0,0.813,0.004,1,0,39.3,NN,0.008687083,2,3.53942682,0.651568724,3.919232288,20.98239798,0.577480633,0.845566161,6
0,adult_one_hot,CVAE,1000,6,5000,100,18,[0],0,0.901,0.012,1,0,36.6,NN,0.050084002,2,4.935856726,0.919581472,5.762404319,58.2132437,0.610681107,0.893234295,6
0,adult_one_hot,CVAE,1000,6,5000,100,19,[0],0,0.604,0,1,0,46.1,NN,6.09841E-06,1,0.588700378,0.14425266,0.320086861,0.807934814,0.42019345,0.616098678,6
0,adult_one_hot,CVAE,1000,6,5000,100,20,[0],1,0.849,0.006,1,0,40.3,NN,0.199093312,2,4.147432549,0.848990281,7.81173374,51.69119345,0.611519761,0.896442849,6
0,adult_one_hot,CVAE,1000,6,5000,100,21,[1],1,0.903,0,1,0,29.3,NN,0.274322808,1,4.800325552,0.868406095,15.30996651,157.367886,0.6602114,0.970600477,6
0,adult_one_hot,CVAE,1000,6,5000,100,22,[1],1,0.9,0.091,1,0,31,NN,0.176190376,1,4.747271793,0.886050045,15.7460683,157.4948154,0.661065297,0.970340652,6
