dataset,target_model,auto_encoder_weighting,auto_encoder_sampling,auto_encoder,instance_no,noise_std,kernel_width,jaccard_values,R2,mse,predict_label,label
adult,NN,TRUE,TRUE,CVAE,0,0.01,0,,0.524,0.033,[1],1
adult,NN,TRUE,TRUE,CVAE,0,0.05,0,,0.991,0.029,[1],1
adult,NN,TRUE,TRUE,CVAE,0,0.1,0,,0.995,0.031,[1],1
adult,NN,TRUE,TRUE,CVAE,0,0.2,0,,0.998,0.022,[1],1
adult,NN,TRUE,TRUE,CVAE,0,0.3,0,,0.998,0.042,[1],1
adult,NN,TRUE,TRUE,CVAE,0,0.4,0,,0.998,0.012,[1],1
adult,NN,TRUE,TRUE,CVAE,0,0.5,0,,0.998,0.022,[1],1
adult,NN,TRUE,TRUE,CVAE,0,0.6,0,,0.998,0.068,[1],1
adult,NN,TRUE,TRUE,CVAE,0,0.7,0,,0.997,0.063,[1],1
adult,NN,TRUE,TRUE,CVAE,0,0.8,0,,0.997,0.002,[1],1
adult,NN,TRUE,TRUE,CVAE,0,0.9,0,,0.996,0.014,[1],1
adult,NN,TRUE,TRUE,CVAE,0,1,0,,0.995,0.001,[1],1
adult,NN,TRUE,TRUE,CVAE,1,0.01,0,,0.142,0.022,[0],0
adult,NN,TRUE,TRUE,CVAE,1,0.05,0,,0.862,0.022,[0],0
adult,NN,TRUE,TRUE,CVAE,1,0.1,0,,0.964,0.021,[0],0
adult,NN,TRUE,TRUE,CVAE,1,0.2,0,,0.963,0.022,[0],0
adult,NN,TRUE,TRUE,CVAE,1,0.3,0,,0.95,0.02,[0],0
adult,NN,TRUE,TRUE,CVAE,1,0.4,0,,0.945,0.021,[0],0
adult,NN,TRUE,TRUE,CVAE,1,0.5,0,,0.912,0.02,[0],0
adult,NN,TRUE,TRUE,CVAE,1,0.6,0,,0.91,0.025,[0],0
adult,NN,TRUE,TRUE,CVAE,1,0.7,0,,0.918,0.023,[0],0
adult,NN,TRUE,TRUE,CVAE,1,0.8,0,,0.929,0.024,[0],0
adult,NN,TRUE,TRUE,CVAE,1,0.9,0,,0.931,0.02,[0],0
adult,NN,TRUE,TRUE,CVAE,1,1,0,,0.935,0.022,[0],0
adult,NN,TRUE,TRUE,CVAE,10,0.01,0,,0.693,0,[0],0
adult,NN,TRUE,TRUE,CVAE,10,0.05,0,,0.984,0,[0],0
adult,NN,TRUE,TRUE,CVAE,10,0.1,0,,0.967,0,[0],0
adult,NN,TRUE,TRUE,CVAE,10,0.2,0,,0.945,0,[0],0
adult,NN,TRUE,TRUE,CVAE,10,0.3,0,,0.896,0,[0],0
adult,NN,TRUE,TRUE,CVAE,10,0.4,0,,0.905,0.001,[0],0
adult,NN,TRUE,TRUE,CVAE,10,0.5,0,,0.935,0.003,[0],0
adult,NN,TRUE,TRUE,CVAE,10,0.6,0,,0.945,0,[0],0
adult,NN,TRUE,TRUE,CVAE,10,0.7,0,,0.957,0,[0],0
adult,NN,TRUE,TRUE,CVAE,10,0.8,0,,0.961,0,[0],0
adult,NN,TRUE,TRUE,CVAE,10,0.9,0,,0.965,0.02,[0],0
adult,NN,TRUE,TRUE,CVAE,10,1,0,,0.967,0.042,[0],0
adult,NN,TRUE,TRUE,CVAE,11,0.01,0,,0.097,0,[0],1
adult,NN,TRUE,TRUE,CVAE,11,0.05,0,,0.785,0,[0],1
adult,NN,TRUE,TRUE,CVAE,11,0.1,0,,0.952,0,[0],1
adult,NN,TRUE,TRUE,CVAE,11,0.2,0,,0.977,0.001,[0],1
adult,NN,TRUE,TRUE,CVAE,11,0.3,0,,0.969,0,[0],1
adult,NN,TRUE,TRUE,CVAE,11,0.4,0,,0.96,0,[0],1
adult,NN,TRUE,TRUE,CVAE,11,0.5,0,,0.943,0,[0],1
adult,NN,TRUE,TRUE,CVAE,11,0.6,0,,0.945,0.002,[0],1
adult,NN,TRUE,TRUE,CVAE,11,0.7,0,,0.938,0,[0],1
adult,NN,TRUE,TRUE,CVAE,11,0.8,0,,0.935,0,[0],1
adult,NN,TRUE,TRUE,CVAE,11,0.9,0,,0.933,0.001,[0],1
adult,NN,TRUE,TRUE,CVAE,11,1,0,,0.932,0,[0],1
adult,NN,TRUE,TRUE,CVAE,12,0.01,0,,0.531,0,[0],0
adult,NN,TRUE,TRUE,CVAE,12,0.05,0,,0.985,0,[0],0
adult,NN,TRUE,TRUE,CVAE,12,0.1,0,,0.972,0,[0],0
adult,NN,TRUE,TRUE,CVAE,12,0.2,0,,0.946,0,[0],0
adult,NN,TRUE,TRUE,CVAE,12,0.3,0,,0.936,0,[0],0
adult,NN,TRUE,TRUE,CVAE,12,0.4,0,,0.866,0,[0],0
adult,NN,TRUE,TRUE,CVAE,12,0.5,0,,0.879,0,[0],0
adult,NN,TRUE,TRUE,CVAE,12,0.6,0,,0.913,0,[0],0
adult,NN,TRUE,TRUE,CVAE,12,0.7,0,,0.923,0,[0],0
