dataset,target_model,auto_encoder_weighting,auto_encoder_sampling,auto_encoder,instance_no,noise_std,kernel_width,jaccard_values,R2,mse,predict_label,label
MNIST,NN,TRUE,TRUE,CVAE,0,0.01,0,,0.959,0,[8],8
MNIST,NN,TRUE,TRUE,CVAE,0,0.05,0,,0.975,0,[8],8
MNIST,NN,TRUE,TRUE,CVAE,0,0.1,0,,0.937,0,[8],8
MNIST,NN,TRUE,TRUE,CVAE,0,0.2,0,,0.897,0,[8],8
MNIST,NN,TRUE,TRUE,CVAE,0,0.3,0,,0.941,0,[8],8
MNIST,NN,TRUE,TRUE,CVAE,0,0.4,0,,0.956,0,[8],8
MNIST,NN,TRUE,TRUE,CVAE,0,0.5,0,,0.96,0,[8],8
MNIST,NN,TRUE,TRUE,CVAE,0,0.6,0,,0.964,0.485,[8],8
MNIST,NN,TRUE,TRUE,CVAE,0,0.7,0,,0.967,0,[8],8
MNIST,NN,TRUE,TRUE,CVAE,0,0.8,0,,0.967,0,[8],8
MNIST,NN,TRUE,TRUE,CVAE,0,0.9,0,,0.965,0.433,[8],8
MNIST,NN,TRUE,TRUE,CVAE,0,1,0,,0.966,0.509,[8],8
MNIST,NN,TRUE,TRUE,CVAE,1,0.01,0,,0.978,0,[4],4
MNIST,NN,TRUE,TRUE,CVAE,1,0.05,0,,0.985,0,[4],4
MNIST,NN,TRUE,TRUE,CVAE,1,0.1,0,,0.963,0,[4],4
MNIST,NN,TRUE,TRUE,CVAE,1,0.2,0,,0.951,0,[4],4
MNIST,NN,TRUE,TRUE,CVAE,1,0.3,0,,0.972,0,[4],4
MNIST,NN,TRUE,TRUE,CVAE,1,0.4,0,,0.978,0,[4],4
MNIST,NN,TRUE,TRUE,CVAE,1,0.5,0,,0.981,0.001,[4],4
MNIST,NN,TRUE,TRUE,CVAE,1,0.6,0,,0.98,0.002,[4],4
MNIST,NN,TRUE,TRUE,CVAE,1,0.7,0,,0.978,0,[4],4
MNIST,NN,TRUE,TRUE,CVAE,1,0.8,0,,0.978,0.521,[4],4
MNIST,NN,TRUE,TRUE,CVAE,1,0.9,0,,0.978,0.001,[4],4
MNIST,NN,TRUE,TRUE,CVAE,1,1,0,,0.977,0,[4],4
MNIST,NN,TRUE,TRUE,CVAE,10,0.01,0,,0,0,[3],3
MNIST,NN,TRUE,TRUE,CVAE,10,0.05,0,,-2.197,0,[3],3
MNIST,NN,TRUE,TRUE,CVAE,10,0.1,0,,0.629,0,[3],3
MNIST,NN,TRUE,TRUE,CVAE,10,0.2,0,,0.828,0,[3],3
MNIST,NN,TRUE,TRUE,CVAE,10,0.3,0,,0.926,0,[3],3
MNIST,NN,TRUE,TRUE,CVAE,10,0.4,0,,0.942,0,[3],3
MNIST,NN,TRUE,TRUE,CVAE,10,0.5,0,,0.953,0,[3],3
MNIST,NN,TRUE,TRUE,CVAE,10,0.6,0,,0.96,0.022,[3],3
MNIST,NN,TRUE,TRUE,CVAE,10,0.7,0,,0.966,0,[3],3
MNIST,NN,TRUE,TRUE,CVAE,10,0.8,0,,0.967,0.365,[3],3
MNIST,NN,TRUE,TRUE,CVAE,10,0.9,0,,0.967,0.001,[3],3
MNIST,NN,TRUE,TRUE,CVAE,10,1,0,,0.972,0.117,[3],3
MNIST,NN,TRUE,TRUE,CVAE,11,0.01,0,,0.997,0.172,[9],9
MNIST,NN,TRUE,TRUE,CVAE,11,0.05,0,,0.988,0.079,[9],9
MNIST,NN,TRUE,TRUE,CVAE,11,0.1,0,,0.98,0.222,[9],9
MNIST,NN,TRUE,TRUE,CVAE,11,0.2,0,,0.962,0.065,[9],9
MNIST,NN,TRUE,TRUE,CVAE,11,0.3,0,,0.951,0.212,[9],9
MNIST,NN,TRUE,TRUE,CVAE,11,0.4,0,,0.942,0.033,[9],9
MNIST,NN,TRUE,TRUE,CVAE,11,0.5,0,,0.938,0,[9],9
MNIST,NN,TRUE,TRUE,CVAE,11,0.6,0,,0.945,0.005,[9],9
MNIST,NN,TRUE,TRUE,CVAE,11,0.7,0,,0.951,0.006,[9],9
MNIST,NN,TRUE,TRUE,CVAE,11,0.8,0,,0.952,0.297,[9],9
MNIST,NN,TRUE,TRUE,CVAE,11,0.9,0,,0.953,0,[9],9
MNIST,NN,TRUE,TRUE,CVAE,11,1,0,,0.954,0.002,[9],9
MNIST,NN,TRUE,TRUE,CVAE,12,0.01,0,,0.981,0.455,[9],9
MNIST,NN,TRUE,TRUE,CVAE,12,0.05,0,,0.907,0.455,[9],9
MNIST,NN,TRUE,TRUE,CVAE,12,0.1,0,,0.917,0.462,[9],9
MNIST,NN,TRUE,TRUE,CVAE,12,0.2,0,,0.845,0.445,[9],9
MNIST,NN,TRUE,TRUE,CVAE,12,0.3,0,,0.914,0.077,[9],9
MNIST,NN,TRUE,TRUE,CVAE,12,0.4,0,,0.937,0.495,[9],9
MNIST,NN,TRUE,TRUE,CVAE,12,0.5,0,,0.949,0.504,[9],9
MNIST,NN,TRUE,TRUE,CVAE,12,0.6,0,,0.947,0.497,[9],9
MNIST,NN,TRUE,TRUE,CVAE,12,0.7,0,,0.949,0.497,[9],9
MNIST,NN,TRUE,TRUE,CVAE,12,0.8,0,,0.952,0.503,[9],9
MNIST,NN,TRUE,TRUE,CVAE,12,0.9,0,,0.955,0,[9],9
MNIST,NN,TRUE,TRUE,CVAE,12,1,0,,0.952,0.356,[9],9
MNIST,NN,TRUE,TRUE,CVAE,13,0.01,0,,0.987,0,[8],8
MNIST,NN,TRUE,TRUE,CVAE,13,0.05,0,,0.898,0,[8],8
MNIST,NN,TRUE,TRUE,CVAE,13,0.1,0,,0.954,0,[8],8
MNIST,NN,TRUE,TRUE,CVAE,13,0.2,0,,0.844,0,[8],8
MNIST,NN,TRUE,TRUE,CVAE,13,0.3,0,,0.914,0,[8],8
MNIST,NN,TRUE,TRUE,CVAE,13,0.4,0,,0.936,0,[8],8
MNIST,NN,TRUE,TRUE,CVAE,13,0.5,0,,0.952,0.604,[8],8
MNIST,NN,TRUE,TRUE,CVAE,13,0.6,0,,0.958,0,[8],8
MNIST,NN,TRUE,TRUE,CVAE,13,0.7,0,,0.96,0,[8],8
MNIST,NN,TRUE,TRUE,CVAE,13,0.8,0,,0.961,0,[8],8
MNIST,NN,TRUE,TRUE,CVAE,13,0.9,0,,0.963,0.083,[8],8
MNIST,NN,TRUE,TRUE,CVAE,13,1,0,,0.964,0.451,[8],8
MNIST,NN,TRUE,TRUE,CVAE,14,0.01,0,,0.989,0,[2],2
MNIST,NN,TRUE,TRUE,CVAE,14,0.05,0,,0.901,0,[2],2
MNIST,NN,TRUE,TRUE,CVAE,14,0.1,0,,0.915,0,[2],2
MNIST,NN,TRUE,TRUE,CVAE,14,0.2,0,,0.949,0,[2],2
MNIST,NN,TRUE,TRUE,CVAE,14,0.3,0,,0.705,0,[2],2
MNIST,NN,TRUE,TRUE,CVAE,14,0.4,0,,0.845,0,[2],2
MNIST,NN,TRUE,TRUE,CVAE,14,0.5,0,,0.788,0,[2],2
MNIST,NN,TRUE,TRUE,CVAE,14,0.6,0,,0.825,0,[2],2
MNIST,NN,TRUE,TRUE,CVAE,14,0.7,0,,0.868,0,[2],2
MNIST,NN,TRUE,TRUE,CVAE,14,0.8,0,,0.886,0,[2],2
MNIST,NN,TRUE,TRUE,CVAE,14,0.9,0,,0.894,0,[2],2
MNIST,NN,TRUE,TRUE,CVAE,14,1,0,,0.928,0,[2],2
MNIST,NN,TRUE,TRUE,CVAE,15,0.01,0,,0.772,0,[5],5
MNIST,NN,TRUE,TRUE,CVAE,15,0.05,0,,0.976,0,[5],5
