,dataset,weighting_fn,epoch_num,latent_size,num_samples,select_percent,instance_no,predict_label,label,r2,mse,element1,element3,process_time,target_model,local_output,Active_latent_dim,L1,L2,RSS,TSS,WRSR,WRSR2,Peason,spearman,Kendor,auto_encoder_latent_dim
0,adult_one_hot,CVAE,1000,6,5000,100,0,[0],1,0.921,0.022,1,0,35.3,NN,0.25276,2,5.644431855,1.120875207,6.11720657,76.95794325,0.607213301,0.889831409,-0.255403275,-0.217666367,-0.146382318,6
0,adult_one_hot,CVAE,1000,6,5000,100,1,[0],0,0.802,0.048,1,0,31.9,NN,0.302177429,2,3.69627233,0.629979247,4.230846551,21.36775081,0.58310544,0.852095341,-0.271387292,-0.338631908,-0.230342573,6
0,adult_one_hot,CVAE,1000,6,5000,100,2,[0],1,0.777,0.029,1,0,32.7,NN,0.233270809,2,3.533882499,0.693801168,5.835148977,26.14058984,0.591527155,0.863853531,-0.282596122,-0.306410521,-0.207980824,6
0,adult_one_hot,CVAE,1000,6,5000,100,3,[0],0,0.795,0.015,1,0,36.7,NN,0.164346844,2,3.415479186,0.61253348,3.55821341,17.34720355,0.576010834,0.847965095,-0.264488329,-0.294421682,-0.200315743,6
0,adult_one_hot,CVAE,1000,6,5000,100,4,[0],0,0.885,0.045,1,0,26,NN,0.036694452,2,5.122740709,0.938540753,6.889861892,59.72425445,0.621641799,0.910304615,-0.230245565,-0.215116307,-0.144140011,6
0,adult_one_hot,CVAE,1000,6,5000,100,5,[0],1,0.815,0.009,1,0,32.5,NN,0.115328602,2,3.389049322,0.57876434,3.151270358,17.01463867,0.579621336,0.851355282,-0.266322431,-0.334643433,-0.227874114,6
0,adult_one_hot,CVAE,1000,6,5000,100,6,[0],0,0.808,0.006,1,0,34.3,NN,0.011889976,2,3.394728712,0.592564382,3.05287666,15.9269959,0.570221376,0.835305624,-0.280045589,-0.333266448,-0.22740655,6
0,adult_one_hot,CVAE,1000,6,5000,100,7,[0],0,0.839,0.006,1,0,38,NN,0.057415873,2,4.10081169,0.80211039,5.247125062,32.6688479,0.594043617,0.868406995,-0.278515295,-0.368272623,-0.250259912,6
0,adult_one_hot,CVAE,1000,6,5000,100,8,[0],0,0.763,0.004,1,0,37.5,NN,0.037716728,2,2.737640901,0.53070892,2.850489926,12.00893991,0.567324384,0.834703176,-0.215684084,-0.218436598,-0.149160968,6
0,adult_one_hot,CVAE,1000,6,5000,100,9,[0],0,0.86,0,1,0,30.9,NN,0.156233177,2,5.133043254,0.903172013,5.416807895,38.67007956,0.602049616,0.881387428,-0.258614327,-0.297693582,-0.202650636,6
0,adult_one_hot,CVAE,1000,6,5000,100,10,[0],0,0.775,0,1,0,46.7,NN,0.000705712,2,2.745398019,0.547151504,1.887751435,8.396121798,0.5552699,0.813737925,-0.194637768,-0.28426184,-0.190506867,6
0,adult_one_hot,CVAE,1000,6,5000,100,11,[0],1,0.854,0.005,1,0,43.7,NN,0.103567161,2,4.729509384,0.798157761,5.085325597,34.80203414,0.596701725,0.874676145,-0.296604644,-0.348527074,-0.237158374,6
0,adult_one_hot,CVAE,1000,6,5000,100,12,[0],0,0.751,0,1,0,17.3,NN,0.0000332,1,1.727801638,0.327780398,0.851620177,3.420363692,0.48178473,0.702814237,-0.175729339,-0.229189752,-0.153001737,6
