dataset,target_model,auto_encoder_weighting,auto_encoder_sampling,auto_encoder,instance_no,noise_std,kernel_width,jaccard_values,score,mse,predict_label,label
adult,NN,TRUE,FALSE,AE,0,0.1,,,0.703,0.078,[1],1
adult,NN,TRUE,FALSE,AE,0,0.2,,,0.691,0.076,[1],1
adult,NN,TRUE,FALSE,AE,0,0.3,,,0.716,0.068,[1],1
adult,NN,TRUE,FALSE,AE,0,0.4,,,0.685,0.085,[1],1
adult,NN,TRUE,FALSE,AE,0,0.5,,,0.688,0.081,[1],1
adult,NN,TRUE,FALSE,AE,0,0.6,,,0.702,0.069,[1],1
adult,NN,TRUE,FALSE,AE,0,0.7,,,0.691,0.08,[1],1
adult,NN,TRUE,FALSE,AE,0,0.8,,,0.709,0.074,[1],1
adult,NN,TRUE,FALSE,AE,0,0.9,,,0.717,0.077,[1],1
adult,NN,TRUE,FALSE,AE,0,1,,,0.682,0.064,[1],1
adult,NN,TRUE,FALSE,AE,1,0.1,,,0.674,0.015,[0],0
adult,NN,TRUE,FALSE,AE,1,0.2,,,0.681,0.015,[0],0
adult,NN,TRUE,FALSE,AE,1,0.3,,,0.673,0.015,[0],0
adult,NN,TRUE,FALSE,AE,1,0.4,,,0.666,0.015,[0],0
adult,NN,TRUE,FALSE,AE,1,0.5,,,0.676,0.015,[0],0
adult,NN,TRUE,FALSE,AE,1,0.6,,,0.677,0.016,[0],0
adult,NN,TRUE,FALSE,AE,1,0.7,,,0.701,0.014,[0],0
adult,NN,TRUE,FALSE,AE,1,0.8,,,0.681,0.018,[0],0
adult,NN,TRUE,FALSE,AE,1,0.9,,,0.686,0.014,[0],0
adult,NN,TRUE,FALSE,AE,1,1,,,0.669,0.013,[0],0
adult,NN,TRUE,FALSE,AE,10,0.1,,,0.642,0.003,[0],0
adult,NN,TRUE,FALSE,AE,10,0.2,,,0.654,0.004,[0],0
adult,NN,TRUE,FALSE,AE,10,0.3,,,0.646,0.003,[0],0
adult,NN,TRUE,FALSE,AE,10,0.4,,,0.624,0.003,[0],0
adult,NN,TRUE,FALSE,AE,10,0.5,,,0.618,0.003,[0],0
adult,NN,TRUE,FALSE,AE,10,0.6,,,0.629,0.005,[0],0
adult,NN,TRUE,FALSE,AE,10,0.7,,,0.631,0.003,[0],0
adult,NN,TRUE,FALSE,AE,10,0.8,,,0.638,0.002,[0],0
adult,NN,TRUE,FALSE,AE,10,0.9,,,0.638,0.004,[0],0
adult,NN,TRUE,FALSE,AE,10,1,,,0.662,0.003,[0],0
adult,NN,TRUE,FALSE,AE,11,0.1,,,0.696,0.003,[0],1
adult,NN,TRUE,FALSE,AE,11,0.2,,,0.681,0.005,[0],1
adult,NN,TRUE,FALSE,AE,11,0.3,,,0.691,0.003,[0],1
adult,NN,TRUE,FALSE,AE,11,0.4,,,0.677,0.003,[0],1
adult,NN,TRUE,FALSE,AE,11,0.5,,,0.685,0.003,[0],1
adult,NN,TRUE,FALSE,AE,11,0.6,,,0.688,0.002,[0],1
adult,NN,TRUE,FALSE,AE,11,0.7,,,0.697,0.005,[0],1
adult,NN,TRUE,FALSE,AE,11,0.8,,,0.696,0.005,[0],1
adult,NN,TRUE,FALSE,AE,11,0.9,,,0.675,0.004,[0],1
adult,NN,TRUE,FALSE,AE,11,1,,,0.683,0.002,[0],1
adult,NN,TRUE,FALSE,AE,12,0.1,,,0.642,0.004,[0],0
adult,NN,TRUE,FALSE,AE,12,0.2,,,0.661,0.005,[0],0
adult,NN,TRUE,FALSE,AE,12,0.3,,,0.659,0.005,[0],0
adult,NN,TRUE,FALSE,AE,12,0.4,,,0.671,0.002,[0],0
