dataset,target_model,auto_encoder_weighting,auto_encoder_sampling,auto_encoder,instance_no,noise_std,kernel_width,jaccard_values,score,mse,predict_label,label
adult,NN,TRUE,TRUE,CVAE,0,0.01,0,,0.506,0.001,[1],1
adult,NN,TRUE,TRUE,CVAE,0,0.05,0,,0.418,0.001,[1],1
adult,NN,TRUE,TRUE,CVAE,0,0.1,0,,0.443,0.001,[1],1
adult,NN,TRUE,TRUE,CVAE,0,0.2,0,,0.864,0.001,[1],1
adult,NN,TRUE,TRUE,CVAE,0,0.3,0,,0.662,0.001,[1],1
adult,NN,TRUE,TRUE,CVAE,0,0.4,0,,0.518,0,[1],1
adult,NN,TRUE,TRUE,CVAE,0,0.5,0,,0.623,0.001,[1],1
adult,NN,TRUE,TRUE,CVAE,0,0.6,0,,0.688,0.001,[1],1
adult,NN,TRUE,TRUE,CVAE,0,0.7,0,,0.754,0,[1],1
adult,NN,TRUE,TRUE,CVAE,0,0.8,0,,0.812,0.001,[1],1
adult,NN,TRUE,TRUE,CVAE,0,0.9,0,,0.831,0.003,[1],1
adult,NN,TRUE,TRUE,CVAE,0,1,0,,0.856,0.003,[1],1
adult,NN,TRUE,TRUE,CVAE,1,0.01,0,,0.066,0.049,[0],0
adult,NN,TRUE,TRUE,CVAE,1,0.05,0,,0.248,0.049,[0],0
adult,NN,TRUE,TRUE,CVAE,1,0.1,0,,0.125,0.049,[0],0
adult,NN,TRUE,TRUE,CVAE,1,0.2,0,,0.475,0.048,[0],0
adult,NN,TRUE,TRUE,CVAE,1,0.3,0,,0.739,0.049,[0],0
adult,NN,TRUE,TRUE,CVAE,1,0.4,0,,0.917,0.047,[0],0
adult,NN,TRUE,TRUE,CVAE,1,0.5,0,,0.969,0.047,[0],0
adult,NN,TRUE,TRUE,CVAE,1,0.6,0,,0.984,0.046,[0],0
adult,NN,TRUE,TRUE,CVAE,1,0.7,0,,0.979,0.045,[0],0
adult,NN,TRUE,TRUE,CVAE,1,0.8,0,,0.981,0.049,[0],0
adult,NN,TRUE,TRUE,CVAE,1,0.9,0,,0.98,0.033,[0],0
adult,NN,TRUE,TRUE,CVAE,1,1,0,,0.979,0.05,[0],0
adult,NN,TRUE,TRUE,CVAE,10,0.01,0,,0.693,0,[0],0
adult,NN,TRUE,TRUE,CVAE,10,0.05,0,,0.989,0,[0],0
adult,NN,TRUE,TRUE,CVAE,10,0.1,0,,0.983,0,[0],0
adult,NN,TRUE,TRUE,CVAE,10,0.2,0,,0.978,0,[0],0
adult,NN,TRUE,TRUE,CVAE,10,0.3,0,,0.916,0,[0],0
adult,NN,TRUE,TRUE,CVAE,10,0.4,0,,0.887,0,[0],0
adult,NN,TRUE,TRUE,CVAE,10,0.5,0,,0.906,0,[0],0
adult,NN,TRUE,TRUE,CVAE,10,0.6,0,,0.932,0,[0],0
adult,NN,TRUE,TRUE,CVAE,10,0.7,0,,0.943,0,[0],0
adult,NN,TRUE,TRUE,CVAE,10,0.8,0,,0.956,0,[0],0
adult,NN,TRUE,TRUE,CVAE,10,0.9,0,,0.96,0.017,[0],0
adult,NN,TRUE,TRUE,CVAE,10,1,0,,0.966,0,[0],0
adult,NN,TRUE,TRUE,CVAE,11,0.01,0,,0.092,0.044,[0],1
adult,NN,TRUE,TRUE,CVAE,11,0.05,0,,0.039,0.044,[0],1
adult,NN,TRUE,TRUE,CVAE,11,0.1,0,,0.218,0.044,[0],1
adult,NN,TRUE,TRUE,CVAE,11,0.2,0,,0.027,0.044,[0],1
adult,NN,TRUE,TRUE,CVAE,11,0.3,0,,0.305,0.044,[0],1
adult,NN,TRUE,TRUE,CVAE,11,0.4,0,,0.687,0.044,[0],1
adult,NN,TRUE,TRUE,CVAE,11,0.5,0,,0.854,0.045,[0],1
adult,NN,TRUE,TRUE,CVAE,11,0.6,0,,0.947,0.045,[0],1
adult,NN,TRUE,TRUE,CVAE,11,0.7,0,,0.973,0.044,[0],1
adult,NN,TRUE,TRUE,CVAE,11,0.8,0,,0.974,0.043,[0],1
adult,NN,TRUE,TRUE,CVAE,11,0.9,0,,0.97,0.045,[0],1
