dataset,target_model,auto_encoder_weighting,auto_encoder_sampling,auto_encoder,instance_no,noise_std,kernel_width,jaccard_values,score,mse,predict_label,label
adult,RF,TRUE,TRUE,CVAE,1,0.01,0,,0.079,0.019,[0],0
adult,RF,TRUE,TRUE,CVAE,1,0.05,0,,0.53,0.025,[0],0
adult,RF,TRUE,TRUE,CVAE,1,0.1,0,,0.538,0.032,[0],0
adult,RF,TRUE,TRUE,CVAE,1,0.2,0,,0.625,0.024,[0],0
adult,RF,TRUE,TRUE,CVAE,1,0.3,0,,0.482,0.036,[0],0
adult,RF,TRUE,TRUE,CVAE,1,0.4,0,,0.309,0.032,[0],0
adult,RF,TRUE,TRUE,CVAE,1,0.5,0,,0.248,0.034,[0],0
adult,RF,TRUE,TRUE,CVAE,1,0.6,0,,0.286,0.034,[0],0
adult,RF,TRUE,TRUE,CVAE,1,0.7,0,,0.359,0.008,[0],0
adult,RF,TRUE,TRUE,CVAE,1,0.8,0,,0.437,0.032,[0],0
adult,RF,TRUE,TRUE,CVAE,1,0.9,0,,0.516,0.029,[0],0
adult,RF,TRUE,TRUE,CVAE,1,1,0,,0.573,0.03,[0],0
adult,RF,TRUE,TRUE,CVAE,10,0.01,0,,0.15,0,[0],0
adult,RF,TRUE,TRUE,CVAE,10,0.05,0,,0.609,0,[0],0
adult,RF,TRUE,TRUE,CVAE,10,0.1,0,,0.638,0,[0],0
adult,RF,TRUE,TRUE,CVAE,10,0.2,0,,0.644,0,[0],0
adult,RF,TRUE,TRUE,CVAE,10,0.3,0,,0.796,0,[0],0
adult,RF,TRUE,TRUE,CVAE,10,0.4,0,,0.723,0.002,[0],0
adult,RF,TRUE,TRUE,CVAE,10,0.5,0,,0.753,0.003,[0],0
adult,RF,TRUE,TRUE,CVAE,10,0.6,0,,0.792,0,[0],0
adult,RF,TRUE,TRUE,CVAE,10,0.7,0,,0.827,0.001,[0],0
adult,RF,TRUE,TRUE,CVAE,10,0.8,0,,0.849,0.003,[0],0
adult,RF,TRUE,TRUE,CVAE,10,0.9,0,,0.867,0,[0],0
adult,RF,TRUE,TRUE,CVAE,10,1,0,,0.871,0,[0],0
adult,RF,TRUE,TRUE,CVAE,11,0.01,0,,0,0.007,[0],1
adult,RF,TRUE,TRUE,CVAE,11,0.05,0,,0.229,0.007,[0],1
adult,RF,TRUE,TRUE,CVAE,11,0.1,0,,0.227,0.008,[0],1
adult,RF,TRUE,TRUE,CVAE,11,0.2,0,,0.053,0.009,[0],1
adult,RF,TRUE,TRUE,CVAE,11,0.3,0,,0.17,0.016,[0],1
adult,RF,TRUE,TRUE,CVAE,11,0.4,0,,0.156,0.014,[0],1
adult,RF,TRUE,TRUE,CVAE,11,0.5,0,,0.033,0.013,[0],1
adult,RF,TRUE,TRUE,CVAE,11,0.6,0,,0.051,0.014,[0],1
adult,RF,TRUE,TRUE,CVAE,11,0.7,0,,0.132,0.016,[0],1
adult,RF,TRUE,TRUE,CVAE,11,0.8,0,,0.246,0.016,[0],1
adult,RF,TRUE,TRUE,CVAE,11,0.9,0,,0.363,0.015,[0],1
adult,RF,TRUE,TRUE,CVAE,11,1,0,,0.448,0.012,[0],1
adult,RF,TRUE,TRUE,CVAE,12,0.01,0,,-7.3787E+15,0,[0],0
adult,RF,TRUE,TRUE,CVAE,12,0.05,0,,0.456,0,[0],0
adult,RF,TRUE,TRUE,CVAE,12,0.1,0,,0.595,0,[0],0
adult,RF,TRUE,TRUE,CVAE,12,0.2,0,,0.253,0,[0],0
adult,RF,TRUE,TRUE,CVAE,12,0.3,0,,0.164,0,[0],0
adult,RF,TRUE,TRUE,CVAE,12,0.4,0,,0.454,0,[0],0
adult,RF,TRUE,TRUE,CVAE,12,0.5,0,,0.658,0.007,[0],0
adult,RF,TRUE,TRUE,CVAE,12,0.6,0,,0.741,0,[0],0
